Description,Site Location,Contact Telephone,Contact URL,Contact Email,Location,Department,Service Level
UNKNOWN,St Andrews,441334 476161,https://www.st-andrews.ac.uk/,,https://en.wikipedia.org/wiki/St_Andrews,University of St Andrews,
INDIGO2 COMPUTER RJ,St Andrews,441334 463744,https://www.st-andrews.ac.uk/maths/,maths@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Maths/Creem,
INDIGO2 COMPUTER RP,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
INDIGO2 COMPUTER RP,St Andrews,441334 462157,https://www.st-andrews.ac.uk/psychology/,psych@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Psychology,
ZEISS MICROSCOPE RP,St Andrews,441334 461851,http://medicine.st-andrews.ac.uk/,medicine@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Medical School,
AUTOLAB SYSTEM RP 47,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
RS6000 COMPUTER RP 6,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
SUN ULTRA COMPUTER R,St Andrews,441334 461851,http://medicine.st-andrews.ac.uk/,medicine@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Medical School,
HP EQUIPMENT RP 6006,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
DRYING SYSTEM - SAMP,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
Tema Image Analysis,St Andrews,441334 463446,http://www.smru.st-andrews.ac.uk/,smru@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Environmental Evolution/Sea Mammal/SMRU,
Greenhouse (Part) BB,St Andrews,441334 461851,http://medicine.st-andrews.ac.uk/,medicine@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Medical School,
Easy Store B17818 Co,St Andrews,441334 461851,http://medicine.st-andrews.ac.uk/,medicine@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Medical School,
IRV3819 Microplate L,St Andrews,441334 461851,http://medicine.st-andrews.ac.uk/,medicine@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Medical School,
B16412 Packard Insta,St Andrews,441334 461851,http://medicine.st-andrews.ac.uk/,medicine@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Medical School,
G9426 Water Chiller,St Andrews,441334 461851,http://medicine.st-andrews.ac.uk/,medicine@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Medical School,
MicroCal MCS-ITC Sys,St Andrews,441334 463401,https://www.st-andrews.ac.uk/bsrc/,bsrc-off@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Biomedical Sciences,
Macpile 16 Cannel X-,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
Macpile System 4 POT,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
Buhler Variable Temp,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
Hispeed Eyetracking,St Andrews,441334 462157,https://www.st-andrews.ac.uk/psychology/,psych@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Psychology,
Med Assoc RESEAR C,St Andrews,441334 462157,https://www.st-andrews.ac.uk/psychology/,psych@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Psychology,
Datajet Integrater 1,St Andrews,441334 463401,https://www.st-andrews.ac.uk/bsrc/,bsrc-off@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Biomedical Sciences,
Origin 200 (S/N 6905,St Andrews,441334 463401,https://www.st-andrews.ac.uk/bsrc/,bsrc-off@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Biomedical Sciences,
High Perform Isocrat,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
EPR Spectrometer 32/,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
Freq Response Analys,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
HP6890/5973 Computer,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
HP6890/5973 System 5,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
HP6890/5973 System 5,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
Nitrogen Gas Cryostr,St Andrews,441334 463800,https://www.st-andrews.ac.uk/chemistry/,chemistry@st-andrews.ac.uk,https://en.wikipedia.org/wiki/St_Andrews,Chemistry,
